#;Temperatura;T;K
#;Entalpia;h;kJ/kg
#;Energia interna;u;kJ/kg
#;Entropia;S;kJ/(kg*K)
220;6.391;4.56;182.639
230;6.683;4.77;183.938
240;6.975;4.98;185.18
250;7.266;5.19;186.37
260;7.558;5.40;187.514
270;7.849;5.60;188.614
280;8.141;5.81;189.673
290;8.432;6.02;190.695
298;8.669;6.19;191.502
300;8.723;6.23;191.682
310;9.014;6.44;192.638
320;9.306;6.65;193.562
330;9.597;6.85;194.459
340;9.888;7.06;195.328
350;10.18;7.27;196.173
360;10.471;7.48;196.995
370;10.763;7.69;197.794
380;11.055;7.90;198.572
390;11.347;8.10;199.331
400;11.64;8.31;200.071
410;11.932;8.52;200.794
420;12.225;8.73;201.499
430;12.518;8.94;202.189
440;12.811;9.15;202.863
450;13.105;9.36;203.523
460;13.399;9.57;204.17
470;13.693;9.79;204.803
480;13.988;10.00;205.424
490;14.285;10.21;206.033
500;14.581;10.42;206.63
510;14.876;10.64;207.216
520;15.172;10.85;207.792
530;15.469;11.06;208.358
540;15.766;11.28;208.914
550;16.064;11.49;209.461
560;16.363;11.71;209.999
570;16.662;11.92;210.528
580;16.962;12.14;211.049
590;17.262;12.36;211.562
600;17.563;12.57;212.066
610;17.864;12.79;212.564
620;18.166;13.01;213.055
630;18.468;13.23;213.541
640;18.772;13.45;214.018
650;19.075;13.67;214.489
660;19.38;13.89;214.954
670;19.685;14.11;215.413
680;19.991;14.34;215.866
690;20.297;14.56;216.314
700;20.604;14.78;216.756
710;20.912;15.01;217.192
720;21.22;15.23;217.624
730;21.529;15.46;218.059
740;21.839;15.69;218.472
750;22.149;15.91;218.889
760;22.46;16.14;219.301
770;22.772;16.37;219.709
780;23.085;16.60;220.113
790;23.398;16.83;220.512
800;23.714;17.06;220.907
810;24.027;17.29;221.298
820;24.342;17.52;221.684
830;24.658;17.76;222.067
840;24.974;17.99;222.447
850;25.292;18.22;222.822
860;25.61;18.46;223.194
870;25.928;18.70;223.562
880;26.248;18.93;223.927
890;26.568;19.17;224.288
900;26.89;19.41;224.647
910;27.21;19.64;225.002
920;27.532;19.88;225.353
930;27.854;20.12;225.701
940;28.178;20.36;226.047
950;28.501;20.60;226.389
960;28.826;20.84;226.728
970;29.151;21.09;227.064
980;29.476;21.33;227.398
990;29.803;21.57;227.728
1000;30.129;21.82;228.057
1020;30.784;22.30;228.706
1040;31.442;22.80;229.344
1060;32.101;23.29;229.973
1080;32.762;23.78;230591
1100;33.426;24.28;231.199
1120;34.092;24.78;231.799
1140;34.76;25.28;232.391
1160;35.43;25.79;232.973
1180;36.104;26.29;233.549
1200;36.777;26.80;234.115
1220;37.452;27.31;234.673
1240;38.129;27.82;235223
1260;38.807;28.33;235.766
1280;39.488;28.85;236.302
1300;40.17;29.36;236.831
1320;40.853;29.38;237.353
1340;41.539;30.40;237.867
1360;42.227;30.92;238.376
1380;42.915;31.44;238.878
1400;43.605;31.96;239.375
1420;44.295;32.49;239.865
1440;44.988;33.01;240.35
1460;45.682;33.54;240.827
1480;46.377;34.07;241.301
1500;47.073;34.60;241.768
1520;47.771;35.13;242.228
1540;48.47;35.67;242.685
1560;49.168;36.20;243.137
1580;49.869;36.73;243.585
1600;50.571;37.27;244.028
1620;51.275;37.81;244.464
1640;51.98;38.34;244.896
1660;52.686;38.88;245.324
1680;53.393;39.42;245.747
1700;54.099;39.97;246.166
1720;54.807;40.51;246.58
1740;55.516;41.05;246.99
1760;56.227;41.59;247.396
1780;56.938;42.14;247.798
1800;57.651;42.69;248.195
1820;58.363;43.23;248.589
1840;59.075;43.78;248.979
1860;59.79;44.32;249.365
1880;60.504;44.87;249.748
1900;61.22;45.42;250.128
1920;61.936;45.97;250.502
1940;62.654;46.52;250.874
1960;63.381;47.08;251.242
1980;64.09;47.63;251.607
2000;64.81;48.18;251.969
2050;66.612;49.57;252.858
2100;68.417;50.96;253.726
2150;70.226;52.35;254.578
2200;72.04;53.75;255.412
2250;73.856;55.15;256.227
2300;75.676;56.55;257.027
2350;77.496;57.96;257.81
2400;79.32;59.37;258.58
2450;81.149;60.78;259.332
2500;82.981;62.20;260.073
2550;84.814;63.61;260.799
2600;86.65;65.03;261.512
2650;88.488;66.46;262.213
2700;90.328;67.88;262.902
2750;92.171;69.31;263.577
2800;94.014;70.73;264.241
2850;95.859;72.16;264.895
2900;97.705;73.59;265.538
2950;99.556;75.03;266.17
3000;101.407;76.46;266.793
3050;103.26;77.90;267.404
3100;105.115;79.34;268.007
3150;106.972;80.78;268.601
3200;108.83;82.22;269.186
3250;110.69;83.67;269.763
